# angle correction_epaule correction_coude
157.36  1.23   0.00
154.53 -1.60   0.00
157.65  1.72   0.00
156.58  0.65   0.00
156.83  0.90   0.00
154.97 -0.96   0.00
154.19 -1.74   0.00
155.12 -0.81   0.00
155.65 -0.28   0.00
156.19  0.31   0.00
153.51 -2.37   0.00
155.61 -0.32   0.00
154.97 -0.96   0.00
152.63 -3.30   0.00
153.95 -1.98   0.00
154.82 -1.11   0.00
154.29 -1.64   0.00
154.48 -1.45   0.00
153.36 -2.47   0.00
154.24 -1.59   0.00
154.14 -1.69   0.00
151.21 -4.62   0.00
151.55 -4.28   0.00
153.60 -2.23   0.00
153.02 -2.81   0.00
150.87 -4.96   0.00
150.77 -5.06   0.00
151.31 -4.52   0.00
151.50 -4.33   0.00
150.67 -5.16   0.00
151.75 -4.08   0.00
149.21 -6.62   0.00
61.19 -94.64   0.00
61.05 -94.78  33.50
61.00 -94.83   0.00
61.19 -94.64   0.00
62.17 -93.66   0.00
61.00 -94.83   0.00
62.07 -93.76   0.00
61.39 -94.44   0.00
62.27 -93.56   0.00
62.12 -93.71   0.00
61.34 -94.49   0.00
62.17 -93.66   0.00
61.00 -94.83   0.00
